lat	lon	title	description	icon	iconsize	iconoffset
54.525580	-1.557235	The Tanners Hall	Not Visited	no_visit.png	24,24	0,0
54.561391	-1.312906	The Thomas Sheraton	Not Visited	no_visit.png	24,24	0,0
54.685666	-1.208621	The Ward Jackson	Not Visited	no_visit.png	24,24	0,0
54.777233	-1.581100	The Water House	Not Visited	no_visit.png	24,24	0,0
54.852139	-1.573391	The Wicket Gate	Not Visited	no_visit.png	24,24	0,0
54.525575	-1.552607	The William Stead	Not Visited	no_visit.png	24,24	0,0
54.550938	-3.587175	The Bransty Arch	Not Visited	no_visit.png	24,24	0,0
54.601910	-3.137898	The Chief Justice of the Common Pleas	Not Visited	no_visit.png	24,24	0,0
54.661841	-2.750304	The Dog Beck	Not Visited	no_visit.png	24,24	0,0
54.115776	-3.227954	The Furness Railway	Not Visited	no_visit.png	24,24	0,0
54.643076	-3.548045	The Henry Bessemer	Not Visited	no_visit.png	24,24	0,0
54.326752	-2.748549	The Miles Thompson	Not Visited	no_visit.png	24,24	0,0
54.891320	-2.931917	The William Rufus	Not Visited	no_visit.png	24,24	0,0
54.890756	-2.930705	Woodrow Wilson	Not Visited	no_visit.png	24,24	0,0
53.235225	-1.424153	Spa Lane Vaults	Not Visited	no_visit.png	24,24	0,0
52.919155	-1.476332	The Babington Arms	Not Visited	no_visit.png	24,24	0,0
53.138854	-1.556066	The Crown	Not Visited	no_visit.png	24,24	0,0
52.971521	-1.308167	The Observatory	Not Visited	no_visit.png	24,24	0,0
53.229884	-1.293819	The Pillar of Rock	Not Visited	no_visit.png	24,24	0,0
53.235196	-1.431165	The Portland Hotel	Not Visited	no_visit.png	24,24	0,0
53.050784	-1.407357	The Red Lion	Not Visited	no_visit.png	24,24	0,0
52.774308	-1.557805	The Sir Nigel Gresley	Not Visited	no_visit.png	24,24	0,0
53.442653	-1.948946	The Smithy Fold	Not Visited	no_visit.png	24,24	0,0
52.924163	-1.478165	The Standing Order	Not Visited	no_visit.png	24,24	0,0
52.924163	-1.478165	The Thomas Leaper	Not Visited	no_visit.png	24,24	0,0
53.259412	-1.905302	The Wye Bridge House	Not Visited	no_visit.png	24,24	0,0
53.097116	-1.390282	Waggon and Horses	Not Visited	no_visit.png	24,24	0,0
50.720565	-3.530044	George’s Meeting House	Not Visited	no_visit.png	24,24	0,0
51.210195	-4.119226	The Admiral Collingwood	Not Visited	no_visit.png	24,24	0,0
50.385633	-4.157300	The Britannia Inn	Not Visited	no_visit.png	24,24	0,0
50.722202	-3.532900	The Chevalier Inn	Not Visited	no_visit.png	24,24	0,0
50.790688	-3.660863	The General Sir Redvers Buller	Not Visited	no_visit.png	24,24	0,0
50.367521	-4.137516	The Gog and Magog	Not Visited	no_visit.png	24,24	0,0
50.462146	-3.525525	The Green Ginger	Not Visited	no_visit.png	24,24	0,0
50.730207	-3.539669	The Imperial	Not Visited	no_visit.png	24,24	0,0
50.437317	-3.567540	The Isaac Merritt	Not Visited	no_visit.png	24,24	0,0
50.547066	-3.494490	The Jolie Brise	Not Visited	no_visit.png	24,24	0,0
50.382396	-4.133740	The Mannamead	Not Visited	no_visit.png	24,24	0,0
51.080760	-4.058120	The Panniers	Not Visited	no_visit.png	24,24	0,0
50.620330	-3.413702	The Powder Monkey	Not Visited	no_visit.png	24,24	0,0
50.549681	-4.146774	The Queen's Head Hotel	Not Visited	no_visit.png	24,24	0,0
50.530714	-3.607806	The Richard Hopkins	Not Visited	no_visit.png	24,24	0,0
51.019901	-4.205854	The Rose Salterne	Not Visited	no_visit.png	24,24	0,0
50.715339	-3.544117	The Sawyer’s Arms	Not Visited	no_visit.png	24,24	0,0
50.387800	-4.051731	The Stannary Court	Not Visited	no_visit.png	24,24	0,0
50.798431	-3.188086	The Star Inn	Not Visited	no_visit.png	24,24	0,0
50.435163	-3.561503	The Talk of the Town	Not Visited	no_visit.png	24,24	0,0
50.369710	-4.148014	The Union Rooms	Not Visited	no_visit.png	24,24	0,0
50.393704	-3.515982	The Vigilance	Not Visited	no_visit.png	24,24	0,0
51.078846	-4.060280	The Water Gate	Not Visited	no_visit.png	24,24	0,0
50.902939	-3.490818	The White Ball Inn	Not Visited	no_visit.png	24,24	0,0
50.739146	-4.0031674	The White Hart Hotel	Not Visited	no_visit.png	24,24	0,0
50.759362	-1.993428	The Blackwater Stream	Not Visited	no_visit.png	24,24	0,0
50.722382	-1.865798	The Christopher Creeke	Not Visited	no_visit.png	24,24	0,0
50.733496	-2.757899	The Greyhound	Not Visited	no_visit.png	24,24	0,0
50.716528	-1.982635	The Lord Wimborne	Not Visited	no_visit.png	24,24	0,0
50.800828	-1.988347	The Man in the Wall	Not Visited	no_visit.png	24,24	0,0
50.720638	-1.876100	The Mary Shelley	Not Visited	no_visit.png	24,24	0,0
50.718063	-1.880494	The Moon in the Square	Not Visited	no_visit.png	24,24	0,0
50.803373	-1.890665	The Nightjar	Not Visited	no_visit.png	24,24	0,0
50.743354	-1.878568	The Parkstone and Heatherlands	Not Visited	no_visit.png	24,24	0,0
50.712209	-1.986530	The Quay	Not Visited	no_visit.png	24,24	0,0
50.715187	-2.439143	The Royal Oak	Not Visited	no_visit.png	24,24	0,0
50.608135	-2.455106	The Swan	Not Visited	no_visit.png	24,24	0,0
50.611574	-2.454260	The William Henry	Not Visited	no_visit.png	24,24	0,0
53.843038	-0.433359	The Cross Keys	Not Visited	no_visit.png	24,24	0,0
50.767602	0.2845550	Cornfield Garage	Not Visited	no_visit.png	24,24	0,0
50.822812	-0.144418	The Bright Helm	Not Visited	no_visit.png	24,24	0,0
50.828586	-0.174065	The Cliftonville Inn	Not Visited	no_visit.png	24,24	0,0
51.060505	0.1616070	The Crowborough Cross	Not Visited	no_visit.png	24,24	0,0
50.862122	0.2595960	The George Hotel	Not Visited	no_visit.png	24,24	0,0
50.855856	0.5796260	The John Logie Baird	Not Visited	no_visit.png	24,24	0,0
50.768832	0.2815490	The London & County	Not Visited	no_visit.png	24,24	0,0
50.8402323	0.4709064	The Picture Playhouse	Not Visited	no_visit.png	24,24	0,0
50.822988	-0.140446	The Post & Telegraph	Not Visited	no_visit.png	24,24	0,0
50.812150	-0.105217	The West Quay	Not Visited	no_visit.png	24,24	0,0
53.703530	-0.871177	City and County	Not Visited	no_visit.png	24,24	0,0
53.743197	-0.343746	The Admiral of the Humber	Not Visited	no_visit.png	24,24	0,0
54.006331	-0.440338	The Benjamin Fawcett	Not Visited	no_visit.png	24,24	0,0
54.083651	-0.187999	The Prior John	Not Visited	no_visit.png	24,24	0,0
53.743981	-0.332747	The Three John Scotts	Not Visited	no_visit.png	24,24	0,0
51.562883	0.2161790	J.J. Moon’s	Not Visited	no_visit.png	24,24	0,0
51.787608	1.1542170	Moon and Starfish	Not Visited	no_visit.png	24,24	0,0
51.731543	0.6777010	Rose & Crown	Not Visited	no_visit.png	24,24	0,0
51.539721	0.0813250	The Barking Dog	Not Visited	no_visit.png	24,24	0,0
51.798234	0.6378710	The Battesford Court	Not Visited	no_visit.png	24,24	0,0
51.626914	0.4185190	The Blue Boar	Not Visited	no_visit.png	24,24	0,0
51.9366895	1.2809545	The Bottle Kiln	Not Visited	no_visit.png	24,24	0,0
51.598880	0.1608980	The Colley Rowe Inn	Not Visited	no_visit.png	24,24	0,0
51.620812	0.3044920	The Dairyman	Not Visited	no_visit.png	24,24	0,0
51.547698	0.6564600	The Elms	Not Visited	no_visit.png	24,24	0,0
51.570419	0.1302700	The Eva Hart	Not Visited	no_visit.png	24,24	0,0
51.561882	0.0688300	The Great Spoon of Ilford	Not Visited	no_visit.png	24,24	0,0
